ad_id,campaign_name,clicks,impressions,cost,leads,conversions,conversion_rate,sale_amount,ad_date,location,device,keyword
A1000,DataAnalyticsCourse,104.0,4498.0,231.88,14.0,7.0,0.058,1892.0,2024-11-16,Hyderabad,Desktop,learn data analytics
A1001,DataAnalyticsCourse,173.0,5107.0,216.84,10.0,8.0,0.046,1679.0,2024-11-20,Hyderabad,Mobile,data analytics course
A1002,Data Analytics Course,90.0,4544.0,203.66,26.0,9.0,0.046,1624.0,2024-11-16,Hyderabad,Desktop,data analitics online
A1003,Data Analytics Course,142.0,3185.0,237.66,17.0,6.0,0.046,1225.0,2024-11-26,Hyderabad,Tablet,data anaytics training
A1004,Data Analytics Course,156.0,3361.0,195.9,30.0,8.0,0.046,1091.0,2024-11-22,Hyderabad,Desktop,online data analytic
A1005,DataAnalyticsCourse,195.0,3776.0,243.57,10.0,8.0,0.046,1315.0,2024-11-16,Hyderabad,Mobile,data anaytics training
A1006,Data Analytics Course,116.0,4480.0,237.79,17.0,5.0,0.043,1640.0,2024-11-06,Hyderabad,Tablet,data analytics course
A1007,Data Analytics Course,184.0,5060.0,229.61,23.0,3.0,0.016,1509.0,2024-11-24,Hyderabad,Tablet,analytics for data
A1008,Data Analytics Course,113.0,5434.0,215.57,27.0,4.0,0.058,1362.0,2024-11-24,Hyderabad,Tablet,data anaytics training
A1009,Data Analytics Course,166.0,3355.0,186.78,24.0,9.0,0.054,1029.0,2024-11-12,Hyderabad,Mobile,online data analytic
A1010,DataAnalyticsCourse,101.0,5399.0,236.79,20.0,6.0,0.059,1900.0,2024-11-14,Hyderabad,Desktop,learn data analytics
A1011,Data Analytics Course,101.0,3613.0,208.12,24.0,5.0,0.05,1130.0,2024-11-22,Hyderabad,Desktop,online data analytic
A1012,Data Analytics Course,125.0,3259.0,191.3,18.0,3.0,0.024,1959.0,2024-11-27,Hydrebad,Desktop,data analitics online
A1013,Data Analytics Course,196.0,3742.0,207.46,10.0,7.0,0.038,1623.0,2024-11-12,Hyderabad,Mobile,data anaytics training
A1014,Data Analytics Course,181.0,4311.0,185.09,11.0,9.0,0.05,1538.0,2024-11-04,Hyderabad,Desktop,data anaytics training
A1015,Data Analytics Course,102.0,5461.0,201.69,22.0,8.0,0.078,1755.0,2024-11-29,Hyderabad,Desktop,data analytics course
A1016,Data Analytics Course,193.0,5159.0,215.57,15.0,9.0,0.047,1614.0,2024-11-10,Hydrebad,Mobile,learn data analytics
